cricInfoId,id,name,role,archetype_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,km_cluster,is_outlier
253802,253802,Virat Kohli,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
34102,34102,Rohit Sharma,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
625371,625371,Jasprit Bumrah,bowler,E,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,46.520447,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,4,False
28081,28081,MS Dhoni,keeper,G,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,70.0,0.0,60.0,0.0,18.75,3,False
35320,35320,Sachin Tendulkar,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
28114,28114,Rahul Dravid,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
30176,30176,Anil Kumble,bowler,B,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,56.14316,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,1,False
303669,303669,Joe Root,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
277906,277906,Kane Williamson,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
348144,348144,Babar Azam,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
44936,44936,AB de Villiers,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
219889,219889,David Warner,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
7133,7133,Ricky Ponting,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
4188,4188,Glenn McGrath,bowler,B,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,62.246918,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,1,False
13552,13552,Shane Warne,bowler,B,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,54.742977,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,1,False
31905,31905,Adam Gilchrist,keeper,G,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,70.0,0.0,60.0,0.0,18.75,3,False
19296,19296,James Anderson,bowler,B,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,66.46029,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,1,False
311158,311158,Ben Stokes,allround,C,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,95.0,95.0,80.0,58.551468,95.0,90.0,55.0,50.0,0.0,60.0,0.0,18.75,5,False
50710,50710,Kumar Sangakkara,keeper,G,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,70.0,0.0,60.0,0.0,18.75,3,False
49636,49636,Muttiah Muralitharan,bowler,E,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,43.420452,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,4,False
49536,49536,Lasith Malinga,bowler,B,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,57.912865,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,1,False
52337,52337,Brian Lara,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
51880,51880,Chris Gayle,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
324418,324418,Pat Cummins,bowler,E,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,52.4718,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,4,False
311631,311631,Mitchell Starc,bowler,B,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,65.85473,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,1,False
45789,45789,Jacques Kallis,allround,F,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,95.0,95.0,80.0,47.86056,95.0,90.0,55.0,50.0,0.0,60.0,0.0,18.75,2,False
28779,28779,Sourav Ganguly,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
35263,35263,Virender Sehwag,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
43209,43209,Harbhajan Singh,bowler,E,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,52.766388,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,4,False
43429,43429,Imran Khan,allround,F,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,95.0,95.0,80.0,48.023064,95.0,90.0,55.0,50.0,0.0,60.0,0.0,18.75,2,False
44828,44828,Dale Steyn,bowler,E,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,48.472515,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,4,False
8917,8917,Wasim Akram,bowler,E,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,51.41001,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,4,False
40439,40439,Younis Khan,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
43290,43290,Shahid Afridi,allround,F,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,95.0,95.0,80.0,54.655315,95.0,90.0,55.0,50.0,0.0,60.0,0.0,18.75,2,False
43263,43263,Shoaib Akhtar,bowler,E,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,52.333603,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,4,False
8166,8166,Brett Lee,bowler,B,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,57.791954,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,1,False
48749,48749,Mahela Jayawardene,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
42656,42656,Hashim Amla,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
84985,84985,Brendon McCullum,keeper,G,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,70.0,0.0,60.0,0.0,18.75,3,False
374919,374919,Trent Boult,bowler,B,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,59.890884,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,1,False
420889,420889,Glenn Maxwell,allround,C,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,95.0,95.0,80.0,62.123974,95.0,90.0,55.0,50.0,0.0,60.0,0.0,18.75,5,False
272401,272401,Aaron Finch,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
369077,369077,Jonny Bairstow,keeper,G,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,70.0,0.0,60.0,0.0,18.75,3,False
49428,49428,R. Ashwin,bowler,B,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,55.293312,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,1,False
234675,234675,Ravindra Jadeja,allround,C,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,95.0,95.0,80.0,62.816154,95.0,90.0,55.0,50.0,0.0,60.0,0.0,18.75,5,False
481896,481896,Mohammed Shami,bowler,E,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,52.467068,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,4,False
931581,931581,Rishabh Pant,keeper,G,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,70.0,0.0,60.0,0.0,18.75,3,False
1125619,1125619,Shubman Gill,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
422108,422108,KL Rahul,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
832172,832172,Marnus Labuschagne,batter,D,0.0,0.0,100.0,20.0,0.0,30.0,0.0,0.0,100.0,0.0,30.0,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,18.75,0,False
1175515,1175515,Haris Rauf,bowler,B,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,55.815304,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,1,False
1233557,1233557,Naseem Shah,bowler,E,100.0,40.0,100.0,30.0,100.0,100.0,95.0,70.0,95.0,95.0,80.0,47.569477,95.0,90.0,30.0,70.0,100.0,60.0,100.0,79.375,4,False
